Date,Description,Amount
2023-10-01,Zomato Order,350
2023-10-01,Uber Ride,150
2023-10-02,Netflix Subscription,499
2023-10-03,H&M Store Purchase,2500
2023-10-04,Groceries from BigBasket,1200
2023-10-05,Electricity Bill,850
2023-10-05,Apollo Pharmacy,300
2023-10-06,Weekend Movie Tickets,900
2023-10-07,Dinner at BBQ Nation,2200
2023-10-08,Ola to Airport,600
2023-10-10,Amazon Shopping,4500
2023-10-12,Swiggy Instamart,450
2023-10-14,Doctor's Consultation,1000
2023-10-15,Mobile Recharge,299
2023-10-16,Fuel for Car,2000
2023-10-18,Lunch with Colleagues,750
2023-10-20,BookMyShow - Concert,3500
2023-10-22,Zara - New Jacket,7000
2023-10-25,Broadband Bill,1100
2023-10-26,Local Train Pass,500
2023-10-28,Weekend Getaway Food,4000
2023-10-29,Medicine Purchase,650
2023-10-30,Myntra Shopping Spree,3200
2023-10-31,Halloween Party Supplies,1500
